iata,city,state,lat,lon
AEL,Albert Lea,MN,43.68149948,-93.36720276
AEM,Amgu,RU,45.84126,137.673568
AEO,Aioun El Atrouss,MR,16.711299896240234,-9.637880325
AEP,Buenos Aires,AR,-34.5592,-58.4156
AEQ,Chifeng,CN,43.908407,120.15099
AER,Sochi,RU,43.449902,39.9566
AES,Ålesund,NO,62.5625,6.1197
AET,Allakaket,AK,66.551804,-152.621994
AEU,Abu Musa,IR,25.8757,55.033001
AEX,Alexandria,LA,31.3274,-92.549797
AEY,Akureyri,IS,65.656573,-18.072018
AFA,San Rafael,AR,-34.588299,-68.4039
AFD,Port Alfred,ZA,-33.555057,26.881656
AFF,Colorado Springs,CO,38.972497,-104.821125
AFI,Amalfi,CO,6.895033,-75.047334
AFK,Ampara,LK,7.284,81.644
AFL,Alta Floresta,BR,-9.866389,-56.106298
AFN,Jaffrey,NH,42.805099,-72.002998
AFO,Afton,WY,42.71120071,-110.9420013
AFR,Afore,PG,-9.13867,148.390701
AFS,Zarafshan,UZ,41.613899,64.2332
AFT,Bila,SB,-9.191389,160.948611
AFW,Fort Worth,TX,32.99044,-97.31947
AFY,Afyonkarahisar,TR,38.726398,30.601101
AFZ,Sabzevar,IR,36.16809844970703,57.59519958496094
AGA,Agadir (Temsia),MA,30.322478,-9.412003
AGB,Augsburg,DE,48.425278,10.931667
AGC,Pittsburgh,PA,40.354401,-79.930199
AGD,Anggi-Papua Island,ID,-1.3858,133.8737
AGE,Wangerooge,DE,53.782544,7.919584
AGF,Agen,FR,44.174171,0.59309
AGG,Angoram,PG,-4.057077,144.073841
AGH,Ängelholm,SE,56.29610061645508,12.847100257873535
AGI,Wageningen,SR,5.841252,-56.673247
AGJ,Aguni,JP,26.592755,127.240335
AGK,Kagua,PG,-6.396388889,143.8536111
AGL,Wanigela,PG,-9.3375,149.155556
AGM,Tasiilaq,GL,65.612296,-37.618335
AGN,Angoon,AK,57.497097,-134.56722
AGO,Magnolia,AR,33.228001,-93.217002
AGP,Málaga,ES,36.6749,-4.49911
AGR,Agra,IN,27.157683,77.960942
AGS,Augusta,GA,33.3699,-81.9645
AGT,Ciudad del Este,PY,-25.457186,-54.839544
AGU,Aguascalientes,MX,21.699589,-102.318372
AGV,Acarigua,VE,9.553375,-69.237869
AGW,Agnew,AU,-12.1456,142.149369
AGX,Agatti,IN,10.8237,72.176003
AGZ,Aggeneys,ZA,-29.281799,18.8139
AHA,Ambikapur,IN,22.98753,83.19612
AHB,Abha,SA,18.2404,42.656601
AHC,Herlong,CA,40.26620102,-120.1529999
AHD,Ardmore,OK,34.14699936,-97.12270355
AHE,Ahe Atoll,PF,-14.42809963,-146.2570038
AHF,Arapahoe,NE,40.341576,-99.907839
AHG,Vingt Cinq,MU,-10.3731,56.609798
AHH,Amery,WI,45.28110123,-92.37539673
AHI,Amahai,ID,-3.347851,128.927093
AHJ,Ngawa (Hongyuan),CN,32.53154,102.35224
AHL,Aishalton,GY,2.47403,-59.320786
AHM,Ashland,OR,42.190265,-122.660648
AHN,Athens,GA,33.948842,-83.325634
AHO,Alghero,IT,40.632099,8.29077
AHS,Ahuas,HN,15.4722,-84.352203
AHU,Al Hoceima,MA,35.177101,-3.83952
AHY,Ambatolahy,MG,-20.01583333,45.535
AHZ,"Huez, Isère",FR,45.087399,6.083604
AIA,Alliance,NE,42.052543,-102.803965
AIC,Bigatyelang Island,MH,7.279422,168.8257
AID,Anderson,IN,40.10860061649999,-85.61299896
AIE,Aiome,PG,-5.145699978,144.7307003
AIF,Assis,BR,-22.638601,-50.455983
AIG,Yalinga,CF,6.519999980926514,23.26000022888184
AIH,Aiambak,PG,-7.342777778,141.2675
AII,Ali-Sabieh,DJ,11.146889,42.72
AIK,Aiken,SC,33.649399,-81.684998
AIL,Isla Lorenzo Bello,PA,9.2226,-78.0236
AIM,Ailuk Island,MH,10.2168,169.983002
AIN,Wainwright,AK,70.638,-159.994995
AIO,Atlantic,IA,41.40729904,-95.04689789
AIP,Adampur,IN,31.4338,75.758797
AIR,Aripuanã,BR,-10.187375,-59.457469
AIS,Arorae Island,KI,-2.616233,176.802209
AIT,Aitutaki,CK,-18.8309,-159.764008
AIU,Atiu Island,CK,-19.96780014,-158.1190033
AIV,Aliceville,AL,33.106499,-88.1978
AIW,Ai-Ais,NAN,-27.995,17.5966
AIY,Araçuaí,BR,-16.851571,-42.045633
AIZ,Kaiser Lake Ozark,MO,38.09600067,-92.54949951
AJA,Ajaccio,FR,41.923599,8.80292
AJF,Al-Jawf,SA,29.78510093688965,40.09999847412109
AJI,Ağrı,TR,39.655642,43.025742
AJJ,Akjoujt,MR,19.727998,-14.377214
AJK,Araak,IR,34.1381,49.847301
AJL,Aizawl (Lengpui),IN,23.840599,92.619698
AJN,Ouani,KM,-12.131047,44.430044
AJR,Arvidsjaur,SE,65.59030151367188,19.28190040588379
AJS,Mulegé,MX,26.7272,-113.558998
AJU,Aracaju,BR,-10.984,-37.070301
AJY,Agadez,NE,16.965999603271484,8.000109672546387
AKA,Ankang (Hanbin),CN,32.75696,108.87338
AKB,Atka,AK,52.220299,-174.205994
AKC,Akron,OH,41.037355,-81.46784
AKD,Akola,IN,20.698931,77.056883
AKE,Akieni,GA,-1.139670014,13.90359974
AKF,Kufra,LY,24.178699493408203,23.31399917602539
AKG,Anguganak,PG,-3.560504,142.217307
AKH,Al Kharj,SA,24.0627,47.580502
AKI,Akiak,AK,60.902646,-161.23106
AKJ,Higashikagura,JP,43.670799,142.447006
AKK,Akhiok,AK,56.938702,-154.182999
AKL,Auckland,NZ,-37.01199,174.786331
AKM,ZaKouma,TD,10.89027778,19.81722222
AKN,King Salmon,AK,58.677845,-156.651965
AKO,Akron,CO,40.17559814,-103.2220001
AKP,Anaktuvuk Pass,AK,68.133598,-151.742996
AKQ,Menggala,ID,-4.611588,105.231968
AKR,Akure,NG,7.246739864349365,5.3010101318359375
AKS,Auki,SB,-8.70257,160.682007
AKT,Akrotiri,CY,34.590401,32.9879
AKU,Aksu (Onsu),CN,41.262501,80.291702
AKV,Akulivik,CA,60.8186,-78.148598
AKW,Aghajari,IR,30.7444,49.6772
AKX,Aktobe,KZ,50.2458,57.206699
AKY,Sittwe,MM,20.133165,92.870693
ALA,Almaty,KZ,43.354267,77.042828
ALB,Albany,NY,42.74829864501953,-73.80169678
ALC,Alicante,ES,38.2822,-0.558156
ALD,Fortaleza,PE,-11.65018,-69.229614
ALE,Alpine,TX,30.384199,-103.683998
ALF,Alta,NO,69.976097,23.3717
ALG,Algiers,DZ,36.693886,3.214531
ALH,Albany,AU,-34.94329834,117.80899810791016
ALI,Alice,TX,27.7409,-98.026901
ALJ,Alexander Bay,ZA,-28.575001,16.5333
ALM,Alamogordo,NM,32.837818,-105.993149
ALN,Alton/St Louis,IL,38.89030075069999,-90.04599762
ALO,Waterloo,IA,42.55709838867188,-92.40029907
ALP,Aleppo,SY,36.180698,37.2244
ALQ,Alegrete,BR,-29.811595,-55.894707
ALR,Alexandra,NZ,-45.210495,169.371113
ALS,Alamosa,CO,37.434898,-105.866997
ALT,Alenquer,BR,-1.917,-54.7231
ALU,Alula,SO,11.9582,50.748
ALW,Walla Walla,WA,46.09489822,-118.288002
ALX,Alexander City,AL,32.914699554399995,-85.96299744
ALZ,Lazy Bay,AK,56.897294,-154.249692
AMA,Amarillo,TX,35.219398,-101.706001
AMB,nan,MG,-13.1884,48.987999
AMC,Am Timan,TD,11.0340004,20.2740001678
AMD,Ahmedabad,IN,23.0772,72.634697
AME,Alto Molocue,MZ,-15.61027778,37.68138889
AMF,nan,PG,-4.101111111,141.67
AMH,Arba Minch,ET,6.03939,37.5905
AMJ,Almenara,BR,-16.165579,-40.684024
AMK,Durango,CO,37.203201,-107.869003
AML,Puerto Armuelles,PA,8.267667,-82.864537
AMM,Amman,JO,31.72260094,35.99319839
AMN,Alma,MI,43.32210159,-84.68800354
AMO,Mao,TD,14.1456,15.3144
AMP,Ampanihy,MG,-24.699699,44.7342
AMQ,Ambon,ID,-3.71026,128.089005
AMS,Amsterdam,NL,52.308601,4.76389
AMT,nan,AU,-26.097363,131.202732
AMU,Amanab,PG,-3.586,141.2143333
AMV,Amderma,RU,69.76329803466797,61.556400299072266
AMW,Ames,IA,41.992001,-93.621803
AMX,nan,AU,-21.73830032,135.24200439453125
AMY,nan,MG,-17.686667,45.623889
AMZ,Manurewa,NZ,-37.02970123,174.97300720214844
ANA,Maasai Mara,KE,-1.27156,34.955513
ANB,Anniston,AL,33.5882,-85.8581
ANC,Anchorage,AK,61.179004,-149.992561
AND,Anderson,SC,34.49459839,-82.70939636
ANE,Angers,FR,47.560299,-0.312222
ANF,Antofagasta,CL,-23.444501,-70.445099
ANG,Angoulême,FR,45.729198,0.221456
ANI,Aniak,AK,61.58160018920898,-159.5429993
ANJ,Zanaga,CG,-2.85,13.817
ANK,Ankara,TR,39.94979858,32.68859863
ANL,Andulo,AO,-11.4723,16.710899
ANM,Antsirabe,MG,-14.9994,50.320202
ANN,Metlakatla,AK,55.037663,-131.572609
ANO,Angoche,MZ,-16.18187,39.945217
ANP,Annapolis,MD,38.942902,-76.568398
ANQ,Angola,IN,41.639702,-85.083504
ANR,Antwerp,BE,51.190667,4.463153
ANS,Andahuaylas,PE,-13.70639992,-73.35040283
ANT,Sankt Anton am Arlberg,AT,47.119621,10.240524
ANU,Osbourn,AG,17.1367,-61.792702
ANV,Anvik,AK,62.646702,-160.190994
ANW,Ainsworth,NE,42.579201,-99.992995
ANX,Andenes,NO,69.292503,16.144199
ANY,Anthony,KS,37.158501,-98.079597
ANZ,Angus Downs Station,AU,-25.0325,132.2748
AOB,nan,PG,-4.904166667,144.6358333
AOC,Nobitz,DE,50.981945,12.506389
AOD,Abou-Deïa,TD,11.4773,19.2874
AOE,Eskişehir,TR,39.809898,30.5194
AOG,Anshan,CN,41.105301,122.853996
AOH,Lima,OH,40.706902,-84.026703
AOI,Falconara Marittima (AN),IT,43.616299,13.3623
AOJ,Aomori,JP,40.73469924926758,140.6909942626953
AOK,Karpathos Island,GR,35.421398,27.146
AOL,Paso de los Libres,AR,-29.6894,-57.1521
AOM,Adam,OM,22.49194444,57.38388889
AOO,Altoona,PA,40.296398,-78.32
AOP,Andoas,PE,-2.796129942,-76.46659851
AOQ,Aappilattoq,GL,72.88703,-55.596287
AOR,Alor Satar,MY,6.189670085906982,100.39800262451172
AOS,Amook Bay,AK,57.4715004,-153.8150024
AOT,Saint-Christophe (AO),IT,45.738552,7.3683
AOU,Attopeu,LA,14.793056,107.045278
APA,Denver,CO,39.57009888,-104.848999
APB,Apolo,BO,-14.7356,-68.411903
APC,Napa,CA,38.2132,-122.280998
APD,Bone,ID,-4.459582,120.310436
APF,Naples,FL,26.15259933,-81.77529907
APG,Aberdeen,MD,39.466202,-76.1688
APH,Bowling Green,VA,38.068631,-77.319318
API,Apiay,CO,4.07607,-73.5627
APJ,Burang Town,CN,30.3975,81.138611
APK,Apataki,PF,-15.5736,-146.414993
APL,Nampula,MZ,-15.10560036,39.28179931640625
APN,Alpena,MI,45.0780983,-83.56030273
APO,Carepa,CO,7.81196,-76.7164
APP,nan,PG,-8.979167,148.103611
APQ,Arapiraca,BR,-9.776589,-36.628983
APR,April River,PG,-4.676666667,142.5401389
APS,Anápolis,BR,-16.363575,-48.9288
APT,Jasper,TN,35.060699,-85.585297
APU,Apucarana,BR,-23.609099,-51.384301
APV,Apple Valley,CA,34.575298309299995,-117.185997
APW,Apia,WS,-13.82999992,-172.0079956
APX,Arapongas,BR,-23.352636,-51.491967
APY,Alto Parnaíba,BR,-9.08533,-45.955603
APZ,Zapala,AR,-38.975498,-70.113602
AQA,Araraquara,BR,-21.812,-48.132999
AQB,Santa Cruz del Quiché,GT,15.0122,-91.150597
AQG,Anqing,CN,30.582199,117.050003
AQI,Qaisumah,SA,28.335199,46.125099
AQJ,Aqaba,JO,29.61160087585449,35.01810073852539
AQM,Ariquemes,BR,-9.880436,-63.047115
AQP,Arequipa,PE,-16.34110069,-71.58309937
AQY,Girdwood,AK,60.968774,-149.119792
ARA,New Iberia,LA,30.0378,-91.883904
ARB,Ann Arbor,MI,42.22299957,-83.74559784
ARC,Arctic Village,AK,68.1147,-145.578995
ARD,Kabola,ID,-8.13234,124.597
ARE,Arecibo,PR,18.45085,-66.675768
ARF,Acaricuara,CO,0.533333,-70.133333
ARG,Walnut Ridge,AR,36.124667,-90.925111
ARH,Archangelsk,RU,64.60030364990234,40.71670150756836
ARI,Arica,CL,-18.348499,-70.338699
ARK,Arusha,TZ,-3.367789984,36.63330078
ARL,Arly,BF,11.597,1.483
ARM,Armidale,AU,-30.52809906,151.6170044
ARN,Stockholm,SE,59.64849,17.928829
ARO,Arboletes,CO,8.855118,-76.422676
ARP,nan,PG,-9.883333333,149.4833333
ARQ,Arauquita,CO,7.02106,-71.388901
ARR,Alto Rio Senguerr,AR,-45.013599,-70.812202
ARS,Aragarças,BR,-15.8994,-52.2411
ART,Watertown,NY,43.991901,-76.021698
ARU,Araçatuba,BR,-21.141479,-50.424575
ARV,Woodruff,WI,45.927898,-89.730904
ARW,Arad,RO,46.176601,21.261999
ARX,Aracati,BR,-4.568896,-37.805135
ARY,Ararat,AU,-37.309978,142.988688
ARZ,N'zeto,AO,-7.259277,12.862355
ASA,Assab,ER,13.0718,42.645
ASB,Ashgabat,TM,37.986801,58.361
ASC,Ascensión de Guarayos,BO,-15.933365,-63.155575
ASD,Andros Town,BS,24.697901,-77.795601
ASE,Aspen,CO,39.223202,-106.869003
ASF,Astrakhan,RU,46.282843,48.010511
ASG,Ashburton,NZ,-43.903301,171.796997
ASH,Nashua,NH,42.7817,-71.514801
ASI,Cat Hill,SH,-7.9696,-14.3937
ASJ,Amami,JP,28.430599212646484,129.71299743652344
ASK,Yamoussoukro,CI,6.903170109,-5.365580082
ASL,Marshall,TX,32.52050018,-94.30780029
ASM,Asmara,ER,15.291899681091309,38.91070175170898
ASN,Talladega,AL,33.569900512699995,-86.05090332
ASO,Asosa,ET,10.018500328063965,34.586299896240234
ASP,Alice Springs,AU,-23.806588,133.903427
ASQ,Austin,NV,39.467708,-117.197576
ASR,Kayseri,TR,38.770401,35.49539948
ASS,Arathusa,ZA,-24.740527,31.517973
AST,Astoria,OR,46.15800095,-123.8789978
ASU,Asunción,PY,-25.240156,-57.519227
ASV,Amboseli National Park,KE,-2.645050049,37.25310134887695
ASW,Aswan,EG,23.968137,32.824445
ASX,Ashland,WI,46.54850006,-90.91899872
ASY,Ashley,ND,46.02389908,-99.3526001
ASZ,nan,PG,-6.009722222,150.3686111
ATA,Anta,PE,-9.347439766,-77.5983963
ATB,Atbara,SD,17.710344,34.057018
ATC,Arthur's Town,BS,24.6294,-75.673797
ATD,Atoifi,SB,-8.87333,161.011002
ATE,Antlers,OK,34.19260025,-95.64990234
ATF,Ambato,EC,-1.21207,-78.5746
ATG,Kamra,PK,33.86909866,72.40090179
ATH,Spata-Artemida,GR,37.936401,23.9445
ATI,Artigas,UY,-30.4007,-56.5079
ATJ,Antsirabe,MG,-19.839221,47.063713
ATK,Atqasuk,AK,70.46704,-157.436013
ATL,Atlanta,GA,33.6367,-84.428101
ATM,Altamira,BR,-3.253144,-52.253938
ATN,Namatanai,PG,-3.6695,152.438
ATO,Albany,OH,39.211839,-82.22949
ATP,Aitape,PG,-3.143611,142.346806
ATQ,Amritsar,IN,31.7096,74.797302
ATR,Atar,MR,20.506799697875977,-13.04319954
ATS,Artesia,NM,32.85250092,-104.4680023
ATT,Atmautluak,AK,60.866699,-162.272996
ATU,Attu,AK,52.829797,173.173796
ATV,Ati,TD,13.239778,18.315893
ATW,Appleton,WI,44.258099,-88.519096
ATX,Atbasar,KZ,51.852306,68.366892
ATY,Watertown,SD,44.91400146,-97.15470123
ATZ,Asyut,EG,27.050818,31.016309
AUA,Oranjestad,AW,12.5014,-70.015198
AUC,Arauca,CO,7.06888,-70.7369
AUD,nan,AU,-18.51499939,139.8780059814453
AUE,Ras Abu Rudeis,EG,28.899694,33.202057
AUF,Auxerre,FR,47.850201,3.49711
AUG,Augusta,ME,44.3205986023,-69.79730225
AUH,Abu Dhabi,AE,24.443764,54.651718
AUI,Aua Island,PG,-1.460555556,143.0647222
AUJ,Ambunti,PG,-4.215666667,142.8231667
AUK,Alakanuk,AK,62.682653,-164.722481
AUL,Aur Atoll,MH,8.14528,171.173004
AUM,Austin,MN,43.66500092,-92.93340302
AUN,Auburn,CA,38.95479965,-121.0820007
AUO,Auburn,AL,32.615101,-85.433998
AUP,Agaun,PG,-9.927715,149.389951
AUQ,Hiva Oa Island,PF,-9.768790245,-139.0110016
AUR,Aurillac,FR,44.891399,2.42194
AUS,Austin,TX,30.197535,-97.662015
AUT,Vila,TL,-8.243133,125.606378
AUU,Aurukun,AU,-13.354019,141.720028
AUV,Aumo,PG,-5.731111111,148.4452778
AUW,Wausau,WI,44.92620087,-89.62660217
AUX,Araguaína,BR,-7.22787,-48.240501
AUY,Anatom Island,VU,-20.249142,169.770758
AUZ,Chicago/Aurora,IL,41.77190018,-88.47570038
AVA,Anshun (Xixiu),CN,26.260556,105.873333
AVB,Aviano (PN),IT,46.031898,12.596503
AVG,Auvergne Station,AU,-15.690555,130.008818
AVI,Ciro Redondo,CU,22.0271,-78.789597
AVK,Arvaikheer,MN,46.250301361083984,102.802002
AVL,Asheville,NC,35.436199,-82.541801
AVN,Avignon,FR,43.907299,4.90183
AVO,Avon Park,FL,27.59119987,-81.52780151
AVP,Wilkes-Barre/Scranton,PA,41.3385009766,-75.7233963
AVU,Avu Avu,SB,-9.868333,160.410556
AVV,Lara,AU,-38.039398,144.468994
AVW,Marana,AZ,32.409065,-111.216199
AVX,Avalon,CA,33.4049,-118.416
AWA,Hawassa,ET,7.099869,38.396187
AWB,Awaba,PG,-8.013414,142.752099
AWD,Aniwa,VU,-19.2346,169.6009
AWE,Wonga Wongué Presidential Reserve,GA,-0.545,9.444
AWK,Wake Island,UM,19.282437,166.636637
AWM,West Memphis,AR,35.13510132,-90.23439789
AWN,nan,AU,-26.488959,139.259906
AWP,nan,AU,-20.5,137.75
AWR,Awar,PG,-4.122278,144.853292
AWZ,Ahvaz,IR,31.3374,48.762001
AXA,The Valley,AI,18.204773,-63.05383
AXB,Alexandria Bay,NY,44.312002,-75.90034
AXC,nan,AU,-22.95788,145.249504
AXD,Alexandroupolis,GR,40.8559,25.956301
AXE,Xanxerê,BR,-26.875067,-52.372862
AXF,Bayanhot,CN,38.74831,105.58858
AXG,Algona,IA,43.078104,-94.271836
AXJ,Amakusa,JP,32.482498,130.158997
AXK,Ataq,YE,14.5513,46.826199
AXL,nan,AU,-19.06019974,136.7100067138672
AXM,Armenia,CO,4.45278,-75.7664
AXN,Alexandria,MN,45.866299,-95.394699
AXO,Kabir,ID,-8.244832,124.219108
AXP,Spring Point,BS,22.441799,-73.970901
AXR,nan,PF,-15.2482996,-146.6170044
AXS,Altus,OK,34.697952,-99.3385
AXT,Akita,JP,39.615601,140.218994
AXU,Axum,ET,14.1468,38.7728
AXV,Wapakoneta,OH,40.49340057,-84.29889679
AXX,Angel Fire,NM,36.422001,-105.290001
AYA,Ayapel,CO,8.3,-75.15
AYC,Ayacucho,CO,8.602149,-73.612866
AYD,Alroy Downs,AU,-19.2908,136.078995
AYG,San Vicente Del Caguán,CO,1.54417,-73.9333
AYI,Yari,CO,-0.383333,-72.266667
AYJ,Faizabad,IN,26.751283,82.155295
AYK,Arkalyk,KZ,50.31859970092773,66.95279693603516
AYL,nan,AU,-18.01807903,135.5350685
AYM,Abu Dhabi,AE,24.467,54.6103
AYN,Anyang,CN,36.1339,114.344002
AYO,Ayolas,PY,-27.378379,-56.856791
AYP,Ayacucho,PE,-13.1548,-74.204399
AYQ,Yulara,AU,-25.185913,130.97703
AYR,Ayr,AU,-19.595832,147.324495
AYS,Waycross,GA,31.24909973,-82.39550018
AYT,Antalya,TR,36.898701,30.800501
AYU,Aiyura Valley,PG,-6.338055556,145.9041667
AYW,Ayawasi,ID,-1.159779,132.464082
AYX,Atalaya,PE,-10.7291,-73.766502
AYY,Pottuvil,LK,6.86,81.82388888890002
AZA,Mesa,AZ,33.3078,-111.654999
AZB,nan,PG,-10.29916667,149.3383333
AZD,Yazd,IR,31.9048996,54.2765007
AZG,Apatzingán,MX,19.093399,-102.393997
AZH,Azamgarh,IN,26.153333,83.118333
AZI,Abu Dhabi,AE,24.428301,54.458099
AZJ,Zhenjiang,CN,32.23649,119.718683
AZL,Sapezal,BR,-13.465528,-58.866935
AZN,Andizhan,UZ,40.727699,72.293999
AZO,Kalamazoo,MI,42.234901428222656,-85.55210114
AZP,Atizapán de Zaragoza,MX,19.574155,-99.291183
AZR,Adrar,DZ,27.837601,-0.186414
AZS,Samana,DO,19.269259,-69.737405
AZT,Zapatoca,CO,6.767724,-73.284444
AZZ,Ambriz,AO,-7.86222,13.1161
BAA,"Bialla, Matalilu, Ewase",PG,-5.330560207,151.0079956
BAB,Beale Air Force Base,CA,39.136101,-121.436996
BAC,Barranca De Upia,CO,4.583333,-72.966667
BAD,Bossier City,LA,32.501801,-93.662697
BAE,"Saint-Pons, Alpes-de-Haute-Provence",FR,44.387198,6.608831
BAF,Westfield,MA,42.157799,-72.715599
BAG,Baguio,PH,16.375034,120.619949
BAH,Manama,BH,26.267295,50.63764
BAI,Punta Arenas,CR,9.163949,-83.330171
BAJ,Unea Island,PG,-4.883333333,149.1333333
BAL,Batman,TR,37.9290008545,41.11660004
BAM,Battle Mountain,NV,40.598999023400005,-116.8740005
BAN,Basongo,CD,-4.315802,20.414891
BAQ,Barranquilla,CO,10.8896,-74.7808
BAR,Qionghai (Basuo),CN,19.140951,110.452766
BAS,Ballalae,SB,-6.990745,155.886656
BAT,Barretos,BR,-20.584631,-48.594125
BAV,Baotou,CN,40.560001,109.997002
BAX,Barnaul,RU,53.363800048828125,83.53849792480469
BAY,Tăuții-Măgherăuș,RO,47.658444,23.464445
BAZ,Barcelos,BR,-0.981191,-62.918603
BBA,Balmaceda,CL,-45.915968,-71.689499
BBB,Benson,MN,45.331902,-95.650597
BBC,Bay City,TX,28.973301,-95.863503
BBD,Brady,TX,31.178931,-99.324732
BBG,Butaritari,KI,3.08583,172.811005
BBH,Barth,DE,54.338253,12.710515
BBI,Bhubaneswar,IN,20.2444,85.817802
BBJ,Bitburg,DE,49.945278,6.565
BBK,Kasane,BW,-17.832899,25.162399
BBL,nan,AU,-27.405633,141.809458
BBM,Battambang,KH,13.0956,103.223999
BBN,Bario,MY,3.734648,115.478548
BBO,Berbera,SO,10.385035,44.936723
BBP,"Bembridge, Isle of Wight",GB,50.678101,-1.10944
BBQ,Codrington,AG,17.635799,-61.828602
BBR,Basse-Terre,GP,16.013648,-61.742928
BBS,"Camberley, Surrey",GB,51.323898,-0.8475
